image_id,image_path,annotation_path,has_annotation,tumor
IMG003489,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003489.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003489.json,0,0
IMG002760,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002760.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002760.json,0,0
IMG001504,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001504.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001504.json,1,1
IMG000019,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000019.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000019.json,1,1
IMG003389,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003389.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003389.json,0,0
IMG000559,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000559.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000559.json,1,1
IMG002117,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002117.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002117.json,0,0
IMG003366,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003366.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003366.json,0,0
IMG002418,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002418.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002418.json,0,0
IMG003341,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003341.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003341.json,0,0
IMG000639,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000639.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000639.json,1,1
IMG003464,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003464.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003464.json,0,0
IMG002098,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002098.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002098.json,0,0
IMG001076,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001076.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001076.json,1,1
IMG002624,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002624.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002624.json,0,0
IMG000557,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000557.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000557.json,1,1
IMG003315,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003315.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003315.json,0,0
IMG002511,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002511.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002511.json,0,0
IMG001375,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001375.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001375.json,1,1
IMG000022,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000022.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000022.json,1,1
IMG001106,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001106.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001106.json,1,1
IMG001647,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001647.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001647.json,1,1
IMG000382,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000382.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000382.json,1,1
IMG000441,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000441.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000441.json,1,1
IMG001677,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001677.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001677.json,1,1
IMG001230,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001230.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001230.json,1,1
IMG001821,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001821.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001821.json,1,1
IMG000031,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000031.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000031.json,1,1
IMG002942,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002942.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002942.json,0,0
IMG003601,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003601.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003601.json,0,0
IMG002338,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002338.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002338.json,0,0
IMG001160,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001160.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001160.json,1,1
IMG003132,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003132.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003132.json,0,0
IMG001056,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001056.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001056.json,1,1
IMG002509,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002509.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002509.json,0,0
IMG000830,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000830.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000830.json,1,1
IMG003097,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003097.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003097.json,0,0
IMG003290,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003290.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003290.json,0,0
IMG000357,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000357.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000357.json,1,1
IMG003146,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003146.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003146.json,0,0
IMG002767,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002767.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002767.json,0,0
IMG000642,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000642.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000642.json,1,1
IMG003359,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003359.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003359.json,0,0
IMG002568,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002568.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002568.json,0,0
IMG001724,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001724.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001724.json,1,1
IMG001201,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001201.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001201.json,1,1
IMG000535,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000535.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000535.json,1,1
IMG000931,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000931.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000931.json,1,1
IMG000764,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000764.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000764.json,1,1
IMG000283,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000283.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000283.json,1,1
IMG000838,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000838.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000838.json,1,1
IMG000746,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000746.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000746.json,1,1
IMG003444,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003444.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003444.json,0,0
IMG002778,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002778.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002778.json,0,0
IMG000495,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000495.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000495.json,1,1
IMG001675,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001675.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001675.json,1,1
IMG001937,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001937.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001937.json,0,0
IMG000322,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000322.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000322.json,1,1
IMG002783,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002783.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002783.json,0,0
IMG002653,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002653.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002653.json,0,0
IMG003702,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003702.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003702.json,0,0
IMG003339,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003339.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003339.json,0,0
IMG000136,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000136.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000136.json,1,1
IMG000653,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000653.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000653.json,1,1
IMG002215,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002215.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002215.json,0,0
IMG002567,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002567.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002567.json,0,0
IMG001047,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001047.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001047.json,1,1
IMG000670,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000670.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000670.json,1,1
IMG001236,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001236.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001236.json,1,1
IMG001085,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001085.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001085.json,1,1
IMG001149,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001149.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001149.json,1,1
IMG000254,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000254.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000254.json,1,1
IMG002707,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002707.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002707.json,0,0
IMG000842,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000842.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000842.json,1,1
IMG002641,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002641.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002641.json,0,0
IMG001619,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001619.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001619.json,1,1
IMG002768,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002768.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002768.json,0,0
IMG003186,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003186.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003186.json,0,0
IMG000391,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000391.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000391.json,1,1
IMG000329,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000329.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000329.json,1,1
IMG000840,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000840.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000840.json,1,1
IMG002248,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002248.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002248.json,0,0
IMG002864,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002864.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002864.json,0,0
IMG001367,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001367.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001367.json,1,1
IMG000811,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000811.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000811.json,1,1
IMG002543,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002543.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002543.json,0,0
IMG001918,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001918.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001918.json,0,0
IMG003311,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003311.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003311.json,0,0
IMG001011,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001011.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001011.json,1,1
IMG001511,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001511.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001511.json,1,1
IMG000076,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000076.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000076.json,1,1
IMG001584,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001584.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001584.json,1,1
IMG002954,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002954.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002954.json,0,0
IMG000171,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000171.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000171.json,1,1
IMG001162,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001162.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001162.json,1,1
IMG002678,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002678.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002678.json,0,0
IMG001064,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001064.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001064.json,1,1
IMG003196,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003196.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003196.json,0,0
IMG002149,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002149.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002149.json,0,0
IMG002881,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002881.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002881.json,0,0
IMG002745,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002745.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002745.json,0,0
IMG002843,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002843.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002843.json,0,0
IMG001969,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001969.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001969.json,0,0
IMG001826,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001826.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001826.json,1,1
IMG002458,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002458.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002458.json,0,0
IMG000101,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000101.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000101.json,1,1
IMG001771,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001771.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001771.json,1,1
IMG002128,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002128.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002128.json,0,0
IMG003642,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003642.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003642.json,0,0
IMG003629,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003629.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003629.json,0,0
IMG000917,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000917.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000917.json,1,1
IMG002406,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002406.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002406.json,0,0
IMG002795,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002795.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002795.json,0,0
IMG002703,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002703.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002703.json,0,0
IMG000620,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000620.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000620.json,1,1
IMG001035,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001035.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001035.json,1,1
IMG003703,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG003703.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG003703.json,0,0
IMG002875,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002875.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002875.json,0,0
